,class,ID,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a5_4,a6_1,a6_2
0,1,data_2,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
1,1,data_3,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
2,1,data_4,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
3,1,data_5,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
4,1,data_6,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
5,1,data_7,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
6,1,data_8,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
7,1,data_9,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
8,1,data_10,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
9,1,data_11,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
10,1,data_12,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
11,1,data_13,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
12,1,data_14,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
13,1,data_15,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
14,1,data_16,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
15,1,data_17,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False
16,1,data_18,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
17,1,data_19,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
18,1,data_20,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
19,1,data_21,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
20,1,data_22,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
21,1,data_23,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
22,1,data_24,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
23,1,data_25,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
24,1,data_26,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
25,1,data_27,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
26,1,data_28,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
