,class,ID,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a5_4,a6_1,a6_2
0,0,data_7,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
1,0,data_9,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
2,0,data_10,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
3,0,data_11,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
4,0,data_13,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
5,0,data_15,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
6,0,data_19,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
7,0,data_23,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
8,0,data_25,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
9,0,data_26,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
10,0,data_37,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
11,0,data_39,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False
12,1,data_40,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
13,0,data_42,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
14,1,data_44,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
15,0,data_50,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True
16,0,data_58,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
17,1,data_60,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
18,0,data_61,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
19,1,data_62,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
20,0,data_63,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
21,0,data_65,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
22,0,data_66,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True
23,1,data_68,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
24,0,data_69,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
25,1,data_70,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
26,0,data_71,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False
27,1,data_72,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
28,0,data_75,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
29,0,data_79,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
30,1,data_85,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
31,1,data_87,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False
32,0,data_89,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
33,1,data_90,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
34,1,data_93,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
35,0,data_94,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
36,1,data_95,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False
37,0,data_96,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True
38,0,data_98,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True
39,0,data_100,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True
40,0,data_101,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False
41,0,data_102,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
42,0,data_107,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
43,1,data_108,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True
44,1,data_110,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True
45,0,data_111,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False
46,1,data_116,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True
47,0,data_117,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
48,1,data_120,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True
49,0,data_125,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
50,1,data_126,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True
51,0,data_127,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False
52,1,data_130,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
53,0,data_134,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
54,0,data_136,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True
55,1,data_139,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False
56,0,data_145,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
57,0,data_148,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
58,0,data_149,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
59,1,data_156,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
60,0,data_162,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
61,1,data_164,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
62,1,data_166,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
63,0,data_167,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
64,0,data_169,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
65,1,data_172,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
66,0,data_175,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
67,1,data_179,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
68,0,data_184,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
69,0,data_185,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
70,1,data_186,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
71,0,data_188,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
72,0,data_190,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
73,0,data_192,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True
74,0,data_197,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
75,1,data_200,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
76,0,data_201,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
77,1,data_205,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
78,1,data_213,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
79,0,data_214,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
80,1,data_215,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False
81,0,data_217,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
82,0,data_220,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
83,0,data_222,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
84,1,data_223,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
85,0,data_224,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True
86,1,data_225,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
87,0,data_228,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
88,0,data_229,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
89,1,data_233,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
90,0,data_235,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
91,0,data_236,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
92,0,data_240,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True
93,0,data_241,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False
94,0,data_242,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True
95,1,data_246,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True
96,0,data_249,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False
97,1,data_253,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False
