,class,ID,a1_1,a1_2,a1_3,a2_1,a2_2,a2_3,a3_1,a3_2,a4_1,a4_2,a4_3,a5_1,a5_2,a5_3,a5_4,a6_1,a6_2
0,1,data_3,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
1,1,data_4,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
2,0,data_5,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
3,0,data_7,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
4,1,data_9,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
5,1,data_12,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
6,0,data_16,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
7,1,data_28,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
8,0,data_32,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True
9,1,data_36,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
10,0,data_39,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False
11,0,data_40,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True
12,1,data_41,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
13,1,data_42,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
14,1,data_45,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
15,1,data_46,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
16,1,data_53,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
17,1,data_59,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
18,1,data_60,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
19,0,data_61,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
20,1,data_65,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
21,1,data_66,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True
22,1,data_67,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
23,1,data_68,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
24,1,data_70,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True
25,0,data_71,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False
26,1,data_77,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
27,0,data_80,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True
28,1,data_81,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
29,1,data_83,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
30,1,data_84,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
31,1,data_89,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
32,1,data_91,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
33,1,data_92,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
