id,A,B,C,D,E,F,G,H,I,J,X,Y,Z
1,0.04070032270242668,0.14262442773391748,0.004902353428423156,0.9964324498952599,0.9973988780400324,0.9978982589931564,0.8726996449873594,0.7035228423527884,0.1499012949243047,0.8130508621956922,7.897453,-35.936382,21.077147
2,0.06997886398585113,1.0,0.0006519255247254829,0.999981145021642,0.6559513942232043,0.007970701262911106,0.40026781666723427,0.9907033192445619,0.8336801244579247,0.10039321677798008,-9.330632,19.901571,6.0691543
3,0.004080798611237169,0.9799470169825791,0.0005125911074353451,0.9986336021922108,0.994130191336473,0.6730494478508722,0.33728296023952886,0.7994532457385816,0.15188519503873815,0.9669493118140602,14.8494005,3.3740904,19.667479
4,0.9688763901674926,0.9928455593434443,0.19381942432680033,0.9999326085934133,0.8637608765934043,0.2173663821761448,0.39875440839489407,0.9999044797925423,0.03196538455734482,0.012577736719522892,-46.591854,13.734777,17.9536
5,0.04603176370909712,0.05653987893317397,0.03363709297288053,0.9705143375818148,0.9895757003791088,0.9992384514550621,0.8935229472152546,0.20351028497680018,0.24119288112175796,0.8507236718592484,8.2175,-45.885254,14.894251
6,0.9939090589549766,0.9910229343265872,0.6049367003306847,0.9997661822513899,0.636206511369499,0.3553979963428834,0.9181588684133797,1.0,0.1483916268198685,0.0007834965127389015,-51.504406,7.055591,11.618739
7,0.0024099585901299347,0.08774259002213619,0.09036902200686553,0.40901039923882543,0.8282154201661995,0.9939728599258797,0.8372345882851719,0.018628569247542248,0.915592444656137,0.8900243276698188,18.687641,-47.715004,2.6493337
8,0.056451714825103916,0.9950656421533297,0.0030598670810415562,0.9994032977462259,0.9774761127228317,0.4448961201141025,0.026457513563088453,0.9852904189976119,0.07373965943811839,0.6547816195208365,6.8209224,15.695568,31.77853
9,0.8691511921370172,0.009674620631696385,0.19338201805291805,0.9675754936415526,0.9989205882147535,0.9999042269441503,0.34034923740433165,0.5653611770814414,0.01452706586148339,0.8586192889408303,-0.5431179,-60.064228,34.145264
10,0.015245539269928499,0.9254918577760359,0.000937791043766234,0.9997987968091229,0.9975936527067397,0.9368329600585132,0.8133220199198637,0.9620037444722751,0.15847799224193904,0.548235785025133,4.271247,-4.438264,20.476498
